id,timestamp,film_title_en,film_title_romanji,film_title_original,year_released,director,production_studio,production_studio_gps,prefecture,film_location,latitude,longitude,researcher_source,release_date,country_of_production,topographical_targets,animated,budget,,,
99,,Shinjuku Incident,Shinjuku inshidento,????????,2009,Tung-Shing Yee,Emperor Dragon Movies,,Hyogo Prefecture,??????? (Sannomiya Center Street),34.6916079,135.193062,JL-DB/ IMDB,01/05/2009,Japan/China (Hong Kong),,No,"$15,000,000",,,
100,,Shinjuku Incident,Shinjuku inshidento,????????,2009,Tung-Shing Yee,Emperor Dragon Movies,,Hyogo Prefecture,???? (Public plaza),34.6648696,135.212617,JL-DB/ IMDB,01/05/2009,Japan/China (Hong Kong),,No,"$15,000,000",,,
101,,Sweet Rain ?????,Su?to r?n shinigami no seido,Sweet Rain ?????,2008,Masaya Masa,Nippon Television Network/ ROBOT/ Warner Bros. Movie/ Bop/ Yomiuri Television/ Mitsui & Co./ Sony Music Entertainment,,Hyogo Prefecture,??????? (Harborland),34.677753,135.178428,JL-DB/ Wikipedia,22/03/2008,,,No,,,,
102,,A slight fever of a 100?,Sesshi 100 ? no binetsu,??100????,2015,Koichi Okamoto,Nobuya Koishikawa & Toshiyuki Shanxi,,Hyogo Prefecture,??????? (Meriken Park),34.679858,135.1887004,JL-DB/ Wikipedia,24/01/2015,,,No,,,,
103,,A Stitch of Life,Tsukuroi tatsu hito,?????,2015,ukiko Mishima,Dub/ GAGA/ Grand Marble/ Kansai Telecasting (KTV)/ Kôdansha/ Pony Canyon,,Hyogo Prefecture,??????? (Meriken Park),34.679858,135.1887004,JL-DB/ IMDB,31/01/2015,,,No,,,,
104,,Dog × Police: The K-9 Force,Dog×police junpaku no kizuna,DOG×POLICE ????,2011,Go Shichitaka,Nippon Television Network (NTV)/ Toho Company/ Twins Japan,,Hyogo Prefecture,??????? (Harborland),34.677753,135.178428,JL-DB/ IMDB,01/10/2011,,,No,,,,
105,,Dog × Police: The K-9 Force,Dog×police junpaku no kizuna,DOG×POLICE ????,2011,Go Shichitaka,Nippon Television Network (NTV)/ Toho Company/ Twins Japan,,Hyogo Prefecture,???????????? (Shin-Kobe Oriental Hotel),34.7044571,135.1949471,JL-DB/ IMDB,01/10/2011,,,No,,,,
106,,The Emperor in August,Nippon'noichiban'nagaihi,??????????,2015,Masato Harada,Junichi Fukumoto & Shingo Sekine,,Hyogo Prefecture,????? (Hyogo prefectural post office),34.6909132,135.1846381,JL-DB/ eiga.com,08/08/2015,,,No,,,,
107,,Hankyu Railways - A 15-minute Miracle,Hanky? densha,????,2011,Yoshishige Miyake,COCOON/ Dentsu/ Gentosha/ Hankyu Railway/ Kansai Telecasting (KTV)/ Pony Canyon/ Yomiuri Shimbun/ The Yomiuri Telecasting Corporation (YTV),,Hyogo Prefecture,??????? (Meriken Park),34.679858,135.1887004,JL-DB/ IMDB,23/08/2011,,,No,,,,
108,,Hankyu Railways - A 15-minute Miracle,Hanky? densha,????,2011,Yoshishige Miyake,COCOON/ Dentsu/ Gentosha/ Hankyu Railway/ Kansai Telecasting (KTV)/ Pony Canyon/ Yomiuri Shimbun/ The Yomiuri Telecasting Corporation (YTV),,Hyogo Prefecture,??????? (Harborland),34.677753,135.178428,JL-DB/ IMDB,23/08/2011,,,No,,,,
109,,Swing me Again,Futatabi,????,2010,Toshi Shioya,A-Team/ Asgard/ Chuo Eiga Boeki/ GAGA/ Hakuhodo DY Media Partners/ Horipro/ Ikko/ KY Trading/ Kinoshita Komuten/ LDH/ Memory Tech/ Pony Canyon/ T.Y./ Television Osaka (TVO)/ Tokyo FM Broadcasting Co.,,Hyogo Prefecture,????? (Red brick warehouse),35.4522984,139.6431304,JL-DB/ IMDB,13/11/2010,,,No,,,,
110,,Cyborg She,Boku no kanojo wa saib?gu,??????????,2008,Jae-young Kwak,Amuse Soft Entertainment/ Dentsu/ Fields Pictures/ GAGA (as GAGA Communications)/ Mainichi/ Broadcasting System (MBS)/ Shogakukan/ Suplex/ Tokyo/ Broadcasting System (TBS)/ Toshiba Entertainment/ Tristone Entertainment Inc.,,Hyogo Prefecture,????? (Hyogo prefectural post office),34.6909132,135.1846381,JL-DB/ IMDB,31/05/2008,,,No,"$8,500,000",,,
111,,Cyborg She,Boku no kanojo wa saib?gu,??????????,2008,Jae-young Kwak,Amuse Soft Entertainment/ Dentsu/ Fields Pictures/ GAGA (as GAGA Communications)/ Mainichi/ Broadcasting System (MBS)/ Shogakukan/ Suplex/ Tokyo/ Broadcasting System (TBS)/ Toshiba Entertainment/ Tristone Entertainment Inc.,,Hyogo Prefecture,??? (Nanjing Street),22.1590952,113.5567227,JL-DB/ IMDB,31/05/2008,,,No,"$8,500,000",,,
112,,Cyborg She,Boku no kanojo wa saib?gu,??????????,2008,Jae-young Kwak,Amuse Soft Entertainment/ Dentsu/ Fields Pictures/ GAGA (as GAGA Communications)/ Mainichi/ Broadcasting System (MBS)/ Shogakukan/ Suplex/ Tokyo/ Broadcasting System (TBS)/ Toshiba Entertainment/ Tristone Entertainment Inc.,,Hyogo Prefecture,??? (Temple of Sekimon),34.68943895,135.1780013,JL-DB/ IMDB,31/05/2008,,,No,"$8,500,000",,,
113,,Watashitachi no Haa Haa,Watashitachi no ha~aha~a,????????,2016,Daigo Matsui,Connects/ Space Shower Television,,Hyogo Prefecture,??? (Medium jettys),34.0857629,132.9929461,JL-DB/ IMDB,09/01/2016,,,No,,,,
114,,Watashitachi no Haa Haa,Watashitachi no ha~aha~a,????????,2016,Daigo Matsui,Connects/ Space Shower Television,,Hyogo Prefecture,??????? (Sannomiya Center Street),34.6916079,135.193062,JL-DB/ IMDB,09/01/2016,,,No,,,,
115,,The End of Summer,Natsunoowari,????,2013,Kazuyoshi Kumakiri,clock works/ bop/ Purandasu,,Hyogo Prefecture,?????? (Hyogo prefectural university),35.5514049,134.8540716,JL-DB/ Wikipedia,31/08/2013,,,No,,,,
116,,Mission Impossible: Samurai,Ch? k?soku! sankink?tai,????????,2014,Katsuhide Motoki,Shochiku Company/ TV Tokyo/ Hakuhodo/ K Factory/ Shôchiku Broadcasting Co./ Kôdansha/ King Records/ Fukushima Minposha/ Shochiku Studio Co.,,Hyogo Prefecture,??????? (Shinoyama Castle Shrine),35.0733442,135.2173899,JL-DB/ IMDB,21/06/2014,,,No,,,,
117,,Demon Island,Akury? shima,???,1981,Shinoda Masahiro,Haruki Kadokawa Office,,Tottori Prefecture,????????? (Hino Town Ruined townscape),35.241472,133.441767,JL-DB/ Wikipedia,3/10/1981,,,No,,,,
118,,Dog Whistle,Inubue,??,1978,Sadao Nakajima,Toshiro Mifune,,Tottori Prefecture,????????Mount Daisen),35.3708333,133.5391666,JL-DB/ Wikipedia,01/04/1978,,,No,,,,
119,,Tora-san Confesses,Otokohatsuraiyo torajir? no kokuhaku,?????????????,1991,Yoji Yamada,Hiroshi Fukasawa,,Tottori Prefecture,???? (Tottori sand dunes),35.5412997,134.2277259,JL-DB/ Wikipedia,21/12/1991,,,No,,,,
120,,Tora-san Confesses,Otokohatsuraiyo torajir? no kokuhaku,?????????????,1991,Yoji Yamada,Hiroshi Fukasawa,,Tottori Prefecture,??? (Abe station),35.3748099,134.2912106,JL-DB/ Wikipedia,21/12/1991,,,No,,,,
121,,Tora-san Confesses,Otokohatsuraiyo torajir? no kokuhaku,?????????????,1991,Yoji Yamada,Hiroshi Fukasawa,,Tottori Prefecture,????? (White wall civil houses),35.432148,133.8243141,JL-DB/ Wikipedia,21/12/1991,,,No,,,,
122,,Tora-san Confesses,Otokohatsuraiyo torajir? no kokuhaku,?????????????,1991,Yoji Yamada,Hiroshi Fukasawa,,Gifu Prefecture,??? (Ena gorge),35.4808266,137.406756,JL-DB/ Wikipedia,21/12/1991,,,No,,,,
123,,Kojoisama,Ko horo gi j?,?????,2007,Sachi Hamano,--,,Tottori Prefecture,???? (Tottori sand dunes),35.5412997,134.2277259,JL-DB/ eiga.com,04/01/2007,,,No,,,,
124,,Kojoisama,Ko horo gi j?,?????,2007,Sachi Hamano,--,,Tottori Prefecture,??? (Jinp?kaku),31.7381271,117.285187,JL-DB/ eiga.com,04/01/2007,,,No,,,,
125,,Kojoisama,Ko horo gi j?,?????,2007,Sachi Hamano,--,,Tottori Prefecture,?????? ,35.3562321,134.4270531,JL-DB/ eiga.com,04/01/2007,,,No,,,,
126,,Singing out,Zessh?,??,1966,Katsumi Nishikawa,Yasuobu Okada,,Tottori Prefecture,???? (Tottori sand dunes),35.5412997,134.2277259,JL-DB/ Wikipedia,17/09/1966,,,No,,,,
127,,Singing out,Zessh?,??,1975,Katsumi Nishikawa,Hori Pro,,Tottori Prefecture,???? (Tottori sand dunes),35.5412997,134.2277259,JL-DB/ Wikipedia,20/12/1975,,,No,,,,
128,,The sword of Alexander,Daiteinoken,????,2007,Yukihiko Tsutsumii,"Asahi Broadcasting Corporation (ABC)/ Enterbrain/ Geo Corporation/ Sky Perfect Well Think/ Sword of Alexander Production Companies, The/ TV Asahi/ Times In/ Toei Company/ Toei Video Company/ Toranoana/ Yahoo Japan",,Tottori Prefecture,?????????? (Sanbutsu-ji),35.399265,133.955784,JL-DB/ IMDB,07/04/2007,,,No,,,,
129,,Tatara Samurai,Tatara samurai,????,2017,Yoshinari Nishikôri,EXILE HiRO,,Tottori Prefecture,??????? (Ogamiyama Shrine Okunomiya),35.417624,133.4059251,JL-DB/ IMDB,20/05/2017,,,No,,,,
130,,Seventh Government World Wandering Looking for Ozaki Midori,Dai shichi kankai h?k? ozaki midori o sagashite,??????????????,1999,Sachi Hamano,Makoto Matsuoka,,Tottori Prefecture,???? (Uradome Coast),35.5910058,134.3223054,JL-DB/ eiga.com,03/06/1999,,,No,,,,
131,,Seventh Government World Wandering Looking for Ozaki Midori,Dai shichi kankai h?k? ozaki midori o sagashite,??????????????,1999,Sachi Hamano,Makoto Matsuoka,,Tottori Prefecture,?????? (Old Iwai elementary school),31.4756376,110.1955773,JL-DB/ eiga.com,03/07/1999,,,No,,,,
132,,Nichiren and the Great Mongol Invasion,Nichiren to mongoru dai sh?rai,????????,1958,Kunio Watanabe,Kadokawa Pictures,,Tottori Prefecture,???? (Tottori sand dunes),35.5412997,134.2277259,JL-DB/ IMDB,--,,,No,,,,
133,,Sleepy Eyes of Death: The Chinese Jade,Nemuri ky?shir?sapp?ch?,???????,1963,Tokuzo Tanaka,Daiei Studios,,Tottori Prefecture,???? (Tottori sand dunes),35.5412997,134.2277259,JL-DB/ IMDB,02/11/1963,,,No,,,,
134,,Gray sunset,Hanaichimonme,??????,1985,Shunya It?,Toei Company/ Toei Kyoto,,Tottori Prefecture,????  (Misasa onsen),35.412493,133.889909,JL-DB/ IMDB,10/10/1985,,,No,,,,
135,,Winter's Flower,Fuyu no hana,???,1978,Yasuo Furuhata,--,,Tottori Prefecture,???? (Tottori sand dunes),35.5412997,134.2277259,JL-DB,17/06/1978,,,No,,,,
136,,Dancer,Maihime,??,1989,Shinoda Masahiro,Herald Ace/ TV Asahi/ Manfred Luniodo Clo,,Tottori Prefecture,??? (Jinp?kaku),31.7381271,117.285187,JL-DB/ Wikipedia,03/06/1989,,,No,,,,
137,,Village of Eight Gravestones,Yattsu haka-mura,????,1977,Yoshitaro Nomura,Shôchiku Eiga,,Tottori Prefecture,???? (Okudado area),22.1919514,113.5381216,JL-DB/ IMDB,19/10/1977,,,No,,,,
138,,The Great Yokai War,Y?kaidaisens?,?????,2005,Takashi Miike,Kadokawa Eiga K.K./ Nippon Television Network (NTV),,Tottori Prefecture,???????? (Mizuki Shigeru Road),35.5449175,133.2235065,JL-DB/ IMDB,06/08/2005,,,No,"JPY 1,300,000,000",,,
139,,Ramblers,Riarizumunoyado,???????,2004,Nobuhiro Yamashita,Bitters End,,Tottori Prefecture,???? (Tottori sand dunes),35.5412997,134.2277259,JL-DB/ www.jtnews.jp,17/04/2004,,,No,,,,
140,,Ramblers,Riarizumunoyado,???????,2004,Nobuhiro Yamashita,Bitters End,,Tottori Prefecture,????  (Misasa onsen),35.412493,133.889909,JL-DB/ www.jtnews.jp,17/04/2004,,,No,,,,
141,,Ramblers,Riarizumunoyado,???????,2004,Nobuhiro Yamashita,Bitters End,,Tottori Prefecture,??? (Nichinan Lake),35.203868,133.310791,JL-DB/ www.jtnews.jp,17/04/2004,,,No,,,,
142,,I want to become a shellfish,Watashihakaininaritai,????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Tottori Prefecture,???? (Shimotani Village),,,JL-DB,22/11/2008,,,No,,,,
,,I want to become a shellfish,Watashihakaininaritai,????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Tottori Prefecture,?????,36.209014,133.32177,JL-DB and http://www.kankou-shimane.com/mag-/08/12/kai.html#sakagura,22/11/2008,,,No,,,,
,,I want to become a shellfish,Watashihakaininaritai,????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Tottori Prefecture,????,36.093755,132.99552,JL-DB and http://www.kankou-shimane.com/mag-/08/12/kai.html#sakagura,22/11/2008,,,No,,,,
,,I want to become a shellfish,Watashihakaininaritai,????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Tottori Prefecture,???,,,JL-DB and http://www.kankou-shimane.com/mag-/08/12/kai.html#sakagura,22/11/2008,,,No,,,,
,,I want to become a shellfish,Watashihakaininaritai,????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Tottori Prefecture,?????,36.079845,132.946506,JL-DB and http://www.kankou-shimane.com/mag-/08/12/kai.html#sakagura,22/11/2008,,,No,,,,
,,I want to become a shellfish,Watashihakaininaritai,????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Tottori Prefecture,?????,,,JL-DB and http://www.kankou-shimane.com/mag-/08/12/kai.html#sakagura,22/11/2008,,,No,,,,
,,I want to become a shellfish,Watashihakaininaritai,????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Tottori Prefecture,?????,,,JL-DB and http://www.kankou-shimane.com/mag-/08/12/kai.html#sakagura,22/11/2008,,,No,,,,
,,I want to become a shellfish,Watashihakaininaritai,????????,2008,Katsuo Fukuzawa, TBS/ Toho/ J-dream/ Hakuhodo DY Media Partners/ Asahi Shimbun/ Production Ogi/ CBC/ TBS Radio/ MBS/ RKB/ HBC etc/ JNN All 28 companies/ BS -i/ TOKYO FM,,Tottori Prefecture,????,35.197429,133.002543,JL-DB and http://www.kankou-shimane.com/mag-/08/12/kai.html#sakagura,22/11/2008,,,No,,,,
143,,The wolverine,Uruvuarin: samurai,??????: SAMURAI,2013,James Mangold,Twentieth Century Fox Film Corporatio/ Marvel Entertainment/ Donners' Company/ TSG Entertainment / Ingenious Media/ Big Screen Productions/ Bad Hat Harry Productions,,Tottori Prefecture,??? (Konoura),35.1361069,138.7461066,JL-DB/ IMDB,13/09/2013,U.S.A,,No,"$120,000,000",,,
144,,Strawberry night,Sutorober?naito,?????????,2013,Yuichi Sato,Fuji Television Network,,Fukuoka Prefecture,??? ,24.336754,120.818331,JL-DB,26/01/2013,,,No,,,,
145,,Sumolah,Sumolah,Sumolah,2007,Afdlin Shauki,silver omega/ vision works,,Fukuoka Prefecture,??????,33.5209097,130.5348743,JL-DB/ IMDB,10/05/1007,Malaysia,,No,"MYR 3,000,000",,,
146,,Blue Spring Ride,Aoharaido,??????,2004,Takahiro Miki,Toho movie,,Nagasaki Prefecture,?????,34.6628237,135.5047909,JL-DB/ Wikipedia,13/12/2004,,,No,,,,
147,,Blue Spring Ride,Aoharaido,??????,2004,Takahiro Miki,Toho movie,,Nagasaki Prefecture,?????,32.734368,129.869134,JL-DB/ Wikipedia,13/12/2004,,,No,,,,
148,,Blue Spring Ride,Aoharaido,??????,2004,Takahiro Miki,Toho movie,,Nagasaki Prefecture,????????,32.7439,129.878392,JL-DB/ Wikipedia,13/12/2004,,,No,,,,
149,,Blue Spring Ride,Aoharaido,??????,2004,Takahiro Miki,Toho movie,,Nagasaki Prefecture,???,34.2319575,132.2743394,JL-DB/ Wikipedia,13/12/2004,,,No,,,,
150,,Blue Spring Ride,Aoharaido,??????,2004,Takahiro Miki,Toho movie,,Nagasaki Prefecture,???? ,32.839382,129.715669,JL-DB/ Wikipedia,13/12/2004,,,No,,,,
151,,The Lion Standing in the Wind,F? ni tatsu raion,????????,2015,Takashi Miike,"OLM, Inc.",,Nagasaki Prefecture,????,35.5869924,139.7108522,JL-DB/ Wikipedia,14/03/2015,,,No,,,,
152,,The Lion Standing in the Wind,F? ni tatsu raion,????????,2015,Takashi Miike,"OLM, Inc.",,Nagasaki Prefecture,???,33.3226269,105.8206203,JL-DB/ Wikipedia,14/03/2015,,,No,,,,
153,,Living with My Mother,Haha to kuraseba,?????,2015,Yoji Yamada,Shochiku/ Shochiku Shooting Center/ Tokyo Studio,,Nagasaki Prefecture,???? ,32.839382,129.715669,JL-DB/ Wikipedia,12/12/2015,,,No,,,,
154,,Living with My Mother,Haha to kuraseba,?????,2015,Yoji Yamada,Shochiku/ Shochiku Shooting Center/ Tokyo Studio,,Nagasaki Prefecture,?????,32.671872,129.824814,JL-DB/ Wikipedia,12/12/2015,,,No,,,,
155,,Chasuke's Journey,Ten no sasuke,????,2017,Sabu,Bandai Visual Company/ Office Kitano/ Shochiku Company,,Okinawa Prefecture,?????????,26.2145429,127.688281,JL-DB/ IMDB,27/06/2015,,,No,,,,
156,,Chasuke's Journey,Ten no sasuke,????,2017,Sabu,Bandai Visual Company/ Office Kitano/ Shochiku Company,,Okinawa Prefecture,????,23.26853,112.0433,JL-DB/ IMDB,27/06/2015,,,No,,,,
157,,Chasuke's Journey,Ten no sasuke,????,2017,Sabu,Bandai Visual Company/ Office Kitano/ Shochiku Company,,Okinawa Prefecture,????,26.2839242,127.8009969,JL-DB/ IMDB,27/06/2015,,,No,,,,
158,,The Chef Of South Polar,Nankyokury?rinin,?????,2009,Shuichi Okita,Anaheim Entertainment/ Asahi Shimbun/ Bandai Visual Company/ Eisei Gekijo/ Kansai Telecasting (KTV)/ Parade/ Pony Canyon/ T.Y./ Tokyo Theatres K.K./ Yahoo Japan,,Hokkaido,,43.220327,142.863474,JL-DB/ IMDB,08/08/2009,,,No,,,,
159,,Halfway,Haruf?~ei,??????,2009,Eriko Kitagawa,Cinequanon/ Micott & Basara K.K./ Rockwell Eyes,,Hokkaido,,43.220327,142.863474,JL-DB/ IMDB,21/02/2009,,,No,,,,
160,,Night of the whirlwind cafeteria,Tsumujikaze shokud? no yoru,????????,2009,Tetsuo Shinohara," Epic Records Japan , Jolly Roger , Tornado film, cube , voice and heart , Frontage, Tvk , tele-ball , Chibaterebi , triple TV , KBS Kyoto , Sun TV",,Hokkaido,,43.220327,142.863474,JL-DB/ Wikipedia,21/11/2009,,,No,,,,
161,,Listen To My Heart,Hikidashi no naka no raburet?,????????????,2009,Shinichi Mishiro,"	Shochiku",,Hokkaido,,43.220327,142.863474,JL-DB/ http://eiga.com/movie/53881/,10/10/2009,,,No,,,,
162,,Asahiyama Zoo Story: Penguins in the Sky,Asahiyamad?butsuenmonogatari pengin ga sorawotobu,??????? ?????????,2009,Masahiko Tsugawa,Kadokawa Film/ NTT Docomo/ Japan Movie Fund,,Hokkaido,,43.220327,142.863474,JL-DB/ Wikipedia,07/02/2009,,,No,,,,
163,,Jinjin,Jin jin,????,2013,Yamada Daiki,Pipeline/ Prism,,Hokkaido,,43.220327,142.863474,JL-DB/ IMDB,07/13/2013,,,No,,,,
164,,ReLIFE,Relife,ReLIFE,2017,Takeshi Furusawa,C&I Entertainment/ Culture Entertainment/ Dentsu/ Earth Star Entertainment/ NHN Comico/ Nippon Shuppan Hanbai (Nippan) K.K./ Parco Co. Ltd./ Shochiku Company/ TMS Entertainment,,Miyagi Prefecture,,38.268837,140.8721,JL-DB/ IMDB,15/04/2017,,,No,,,,
165,,It All Began When I Met You,Subete wa kimi ni aetakara,???????????,2013,Katsuhide Motoki,Warner Bros./ East Japan Marketing & Communications Inc./ Shirogumi/ Asahi Shimbun/ Gyao/ Tokyo FM Broadcasting Co.,,Miyagi Prefecture,,38.268837,140.8721,JL-DB/ IMDB,22/11/2013,,,No,,,,
166,,Cry 100 times,100-kai nakukoto,100?????,2013,"	Ryuichi Hiroki", Hakuhodo DY Media Partners/ Geneon Universal Entertainment Japan/ Shogakukan/ dub/ J Storm/ Shaw gate ,,Miyagi Prefecture,,38.268837,140.8721,JL-DB/ Wikipedia,22/06/2013,,,No,,,,
167,,Oshin,Oshin,???,2013,Togashi Mori,"Se Dick International, Dentsu , TBS television , Chubu-Nippon Broadcasting , Toei, Kinoshita Group , Zhejiang Tang?????, Oscar promotion , Mainichi Broadcasting System , Asahi Shimbun , TBS Radio & Communications , Shonai movie village , J: COM , Terebiyu_Yamagata , Poplar , Yamagatashinbunsha , Yamagata Broadcasting Company , cable TV Yamagata , Tohoku cable TV network, Yamagata TV , cherries TV",,Yamagata Prefecture,,38.240435,140.363633,JL-DB/ Wikipedia,12/10/2013,,,No,,,,
168,,March Comes in Like a Lion 2,3 tsuki no raion k?hen,3?????? ??,2017,Keishi Ohtomo,Robot Communications,,Yamagata Prefecture,,38.240435,140.363633,JL-DB/ IMDB,22/04/2017,,,No,,,,
169,,The Mourner,Itamuhito,???,2015,Yukihiko Tsutsum,"Kino Films, Kinoshita Komuten, Office Crescendo",,Fukushima Prefecture,,37.750299,140.467551,JL-DB/ IMDB,14/02/2015,,,No,,,,
170,,Pandemic,Kansen rett?,????,2009,Takahisa Zeze,Tokyo Broadcasting System (TBS)/ Toho Company/ Dentsu/ Mainichi Broadcasting System (MBS)/ Horipro/ Shogakukan/ RKB Mainichi Broadcasting Corporation/ Asahi Shimbun/ Hokkaido Broadcasting Co./ Chugoku Broadcasting (RCC)/ Shizuoka Broadcasting System (SBS)/ Tohoku Broadcasting Co./ Yahoo Japan,,Fukushima Prefecture,,37.750299,140.467551,JL-DB/ IMDB,17/01/2009,,,No,,,,
171,,Hameln,H?merun,?????,2013,Takushi Tsubokawa,LaValse Film/ Trixta,,Fukushima Prefecture,,37.750299,140.467551,JL-DB/ IMDB,06/09/2013,,,No,,,,
172,, ZEN,Zen zen,? ZEN,2009,Banmei Takahashi,Kadokawa Pictures/ Twins Japan,,Fukushima Prefecture,,37.750299,140.467551,JL-DB/ IMDB,10/02/2009,,,No,,,,
173,,Love Exposure,Ainomukidashi,??????,2009, Sion Sono,Omega Project,,Ibaraki Prefecture,,36.341811,140.446794,JL-DB/ IMDB,13/01/2009,,,No,,,,
174,,Love Exposure,Ainomukidashi,??????,2009, Sion Sono,Omega Project,,Tokyo,????,35.659053,139.700547,JL-DB/ IMDB,13/01/2009,,,No,,,,
175,,Love Exposure,Ainomukidashi,??????,2009, Sion Sono,Omega Project,,Tokyo,Milpa arcade,35.58639,139.7275,JL-DB/ IMDB,13/01/2009,,,No,,,,
176,,Love Exposure,Ainomukidashi,??????,2009, Sion Sono,Omega Project,,Kanagawa Prefecture,?????????,35.422191,139.656497,JL-DB/ IMDB,13/01/2009,,,No,,,,
177,,Asahiyama Zoo Story: Penguins in the Sky,Asahiyamad?butsuenmonogatari pengin ga sorawotobu,??????? ?????????,2009,Masahiko Tsugawa, Kadokawa Film/ NTT Docomo/ Japan Movie Fund,,Ibaraki Prefecture,,36.341811,140.446794,JL-DB/ Wikipedia,07/02/2009,,,No,,,,
178,,Asa Hiru Ban,Asahiru ban,??????,2013,J?z? Yamasaki,"Shogakukan/ Yoshimoto Creative Agency/ Shochiku, Haut-El M/ Shogakukan-Shueisha Productions/ Hino Motors/ Dentsu/ Fellow",,Ibaraki Prefecture,,36.341811,140.446794,JL-DB/ Wikipedia,23/11/2013,,,No,,,,
179,,ARAKAWA UNDER THE BRIDGE THE MOVIE,Arakawa and? za burijji the m?b?,?????? ? ???? THE MOVIE,2012,Takeshi Iizuka, King Records/ Sony Music Entertainment/ Square Enix/ MBS/ Hakuhodo DY Media Partners/ Shaw gate/ smoke/ Nikkatsu - channel NECO,,Ibaraki Prefecture,,36.341811,140.446794,JL-DB/ Wikipedia,04/02/2012,,,No,,,,
